OID_,Value,Count,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,Field1,OID1,Value_1,Count_1,BPS_CODE_1,ZONE_1,BPS_MODEL_1,BPS_NAME_1,GROUPVEG_1,FRI_REPLAC_1,FRI_MIXED_1,FRI_SURFAC_1,FRI_ALLFIR_1,PRC_REPLAC_1,PRC_MIXED_1,PRC_SURFAC_1,FRG_NEW_1,R_1,G_1,B_1,RED_1,GREEN_1,BLUE_1,SI_FRG
1215,1653,1712522.000000000000000,14120,40,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000,89,,1653,1712522,14120,40,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000,Frequent
1216,1654,18714555.000000000000000,14200,40,14200_39_40_42,Northern Tallgrass Prairie,Grassland,6,-9999,-9999,6,100,-9999,-9999,II-B,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000,90,,1654,18714555,14200,40,14200_39_40_42,Northern Tallgrass Prairie,Grassland,6,-9999,-9999,6,100,-9999,-9999,II-B,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000,Frequent
1217,1655,425790.000000000000000,14690,40,14690_31_39_40_43,Eastern Great Plains Floodplain Systems,Riparian,517,77,176,48,9,63,28,III-A,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000,91,,1655,425790,14690,40,14690_31_39_40_43,Eastern Great Plains Floodplain Systems,Riparian,517,77,176,48,9,63,28,III-A,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000,Intermediate
1218,1656,2622279.000000000000000,14770,40,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,15,-9999,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000,92,,1656,2622279,14770,40,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,716,-9999,123,105,15,-9999,85,III-B,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000,Intermediate
1219,1657,1140427.000000000000000,14820,40,14820_39_40,Great Plains Prairie Pothole,Grassland,50,-9999,-9999,50,100,-9999,-9999,IV-A,156,100,163,0.611765000000000,0.392157000000000,0.639216000000000,93,,1657,1140427,14820,40,14820_39_40,Great Plains Prairie Pothole,Grassland,50,-9999,-9999,50,100,-9999,-9999,IV-A,156,100,163,0.611765000000000,0.392157000000000,0.639216000000000,Intermediate
1220,1658,18471.000000000000000,14950,40,14950_31_39_40,Western Great Plains Depressional Wetland Systems,Riparian,20,-9999,-9999,20,100,-9999,-9999,II-C,104,0,156,0.407843000000000,0.000000000000000,0.611765000000000,94,,1658,18471,14950,40,14950_31_39_40,Western Great Plains Depressional Wetland Systems,Riparian,20,-9999,-9999,20,100,-9999,-9999,II-C,104,0,156,0.407843000000000,0.000000000000000,0.611765000000000,Frequent
1225,1663,267752.000000000000000,13100,39,13100_39,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,112,43,47,19,17,43,40,I-C,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,95,,1663,267752,13100,39,13100_39,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,112,43,47,19,17,43,40,I-C,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,Frequent
1226,1664,35197.000000000000000,13110,39,13110_39,North-Central Interior Dry Oak Forest and Woodland,Hardwood,77,85,19,13,17,15,68,I-B,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000,96,,1664,35197,13110,39,13110_39,North-Central Interior Dry Oak Forest and Woodland,Hardwood,77,85,19,13,17,15,68,I-B,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000,Frequent
1227,1665,318774.000000000000000,13140,39,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,97,,1665,318774,13140,39,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,Rare
1229,1667,2848.000000000000000,13850,39,13850_31_39_40_42,Western Great Plains Wooded Draw and Ravine,Shrubland,91,65,230,32,36,50,14,I-C,168,168,0,0.658824000000000,0.658824000000000,0.000000000000000,98,,1667,2848,13850,39,13850_31_39_40_42,Western Great Plains Wooded Draw and Ravine,Shrubland,91,65,230,32,36,50,14,I-C,168,168,0,0.658824000000000,0.658824000000000,0.000000000000000,Intermediate
