Value,Count,BPS_CODE,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,R,G,B,RED,GREEN,BLUE
1819,1221541.000000000000000,13200,Central and Southern Appalachian Montane Oak Forest,147,95,33,21,180,130,180,0.705882000000000,0.509804000000000,0.705882000000000
1820,168903.000000000000000,13210,South-Central Interior Mesophytic Forest,869,534,86,68,71,135,148,0.278431000000000,0.529412000000000,0.580392000000000
1821,7669.000000000000000,13500,Central and Southern Appalachian Spruce-Fir Forest,1000,1155,-9999,536,207,214,51,0.811765000000000,0.839216000000000,0.200000000000000
1822,416616.000000000000000,13520,Southern Appalachian Montane Pine Forest and Woodland,88,101,5,5,117,71,197,0.458824000000000,0.278431000000000,0.772549000000000
1823,97811.000000000000000,13530,Southern Appalachian Low-Elevation Pine Forest,153,66,9,7,255,200,97,1.000000000000000,0.784314000000000,0.380392000000000
1824,37193.000000000000000,13680,Southern Piedmont Dry Oak(-Pine) Forest,325,235,5,5,211,186,255,0.827451000000000,0.729412000000000,1.000000000000000
1825,896848.000000000000000,13760,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,187,109,8,7,222,153,122,0.870588000000000,0.600000000000000,0.478431000000000
1826,1483.000000000000000,14140,Southern Appalachian Grass and Shrub Bald,280,341,-9999,154,240,10,10,0.941176000000000,0.039216000000000,0.039216000000000
1827,187360.000000000000000,14710,Central Interior and Appalachian Floodplain Systems,613,392,121,80,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1828,1185330.000000000000000,14720,Central Interior and Appalachian Riparian Systems,997,-9999,202,168,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000
1840,16834302.000000000000000,13030,Northeastern Interior Dry-Mesic Oak Forest,7,17,15,4,215,185,100,0.843137000000000,0.725490000000000,0.392157000000000
1841,2162680.000000000000000,13160,Southern Piedmont Mesic Forest,499,355,52,41,99,199,125,0.388235000000000,0.780392000000000,0.490196000000000
1842,13927022.000000000000000,13240,Northern Atlantic Coastal Plain Hardwood Forest,48,44,4,4,161,112,90,0.631373000000000,0.439216000000000,0.352941000000000
1843,2338221.000000000000000,13350,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,198,98,8,7,230,205,156,0.901961000000000,0.803922000000000,0.611765000000000
1844,21475516.000000000000000,13430,Atlantic Coastal Plain Mesic Hardwood Forest,479,382,43,36,168,112,0,0.658824000000000,0.439216000000000,0.000000000000000
1845,693231.000000000000000,13470,Atlantic Coastal Plain Upland Longleaf Pine Woodland,131,376,4,4,135,186,24,0.529412000000000,0.729412000000000,0.094118000000000
1846,3358.000000000000000,13520,Southern Appalachian Montane Pine Forest and Woodland,88,101,5,5,117,71,197,0.458824000000000,0.278431000000000,0.772549000000000
1847,39567.000000000000000,13530,Southern Appalachian Low-Elevation Pine Forest,153,66,9,7,255,200,97,1.000000000000000,0.784314000000000,0.380392000000000
1848,4733985.000000000000000,13550,Northern Atlantic Coastal Plain Pitch Pine Barrens,77,31,12,8,255,165,82,1.000000000000000,0.647059000000000,0.321569000000000
1849,109852.000000000000000,13610,Central Atlantic Coastal Plain Maritime Forest,357,119,113,50,237,0,229,0.929412000000000,0.000000000000000,0.898039000000000
1850,2905137.000000000000000,13680,Southern Piedmont Dry Oak(-Pine) Forest,325,235,5,5,211,186,255,0.827451000000000,0.729412000000000,1.000000000000000
1851,6506268.000000000000000,13690,Central Appalachian Dry Oak-Pine Forest,182,463,15,14,0,255,220,0.000000000000000,1.000000000000000,0.862745000000000
1852,3350767.000000000000000,13700,Appalachian (Hemlock-)Northern Hardwood Forest,1010,1122,-9999,531,214,255,145,0.839216000000000,1.000000000000000,0.568627000000000
1853,6158.000000000000000,13750,Eastern Serpentine Woodland,87,56,5,5,229,94,99,0.898039000000000,0.368627000000000,0.388235000000000
1854,150771.000000000000000,13770,Central Appalachian Pine-Oak Rocky Woodland,412,384,4645,190,255,0,77,1.000000000000000,0.000000000000000,0.301961000000000
1855,1148759.000000000000000,13790,Northern Atlantic Coastal Plain Maritime Forest,74,160,9,7,237,0,179,0.929412000000000,0.000000000000000,0.701961000000000
1856,178528.000000000000000,14000,Central Appalachian Alkaline Glade and Woodland,5,19,1583,4,255,153,229,1.000000000000000,0.600000000000000,0.898039000000000
1857,761382.000000000000000,14360,Northern Atlantic Coastal Plain Dune and Swale,8,14,-9999,5,100,31,87,0.392157000000000,0.121569000000000,0.341176000000000
1858,23080.000000000000000,14490,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,89,261,3,3,143,237,41,0.560784000000000,0.929412000000000,0.160784000000000
1859,55516.000000000000000,14520,Atlantic Coastal Plain Peatland Pocosin and Canebrake,14,16,-9999,7,255,125,0,1.000000000000000,0.490196000000000,0.000000000000000
1860,139542.000000000000000,14680,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,98,28,14,8,68,79,145,0.266667000000000,0.309804000000000,0.568627000000000
1861,565004.000000000000000,14710,Central Interior and Appalachian Floodplain Systems,613,392,121,80,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1862,113736.000000000000000,14720,Central Interior and Appalachian Riparian Systems,997,-9999,202,168,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000
