"","OID_","Value","Count","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","SI_FRG"
"91",1217,1655,425790,14690,40,"14690_31_39_40_43","Eastern Great Plains Floodplain Systems","Riparian",517,77,176,48,9,63,28,"III-A",75,170,190,0.294118,0.666667,0.745098,"Intermediate"
"92",1218,1656,2622279,14770,40,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,-9999,123,105,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,"Intermediate"
"93",1219,1657,1140427,14820,40,"14820_39_40","Great Plains Prairie Pothole","Grassland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",156,100,163,0.611765,0.392157,0.639216,"Intermediate"
"94",1220,1658,18471,14950,40,"14950_31_39_40","Western Great Plains Depressional Wetland Systems","Riparian",20,-9999,-9999,20,100,-9999,-9999,"II-C",104,0,156,0.407843,0,0.611765,"Frequent"
"95",1225,1663,267752,13100,39,"13100_39","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",112,43,47,19,17,43,40,"I-C",176,163,222,0.690196,0.639216,0.870588,"Frequent"
"96",1226,1664,35197,13110,39,"13110_39","North-Central Interior Dry Oak Forest and Woodland","Hardwood",77,85,19,13,17,15,68,"I-B",179,207,143,0.701961,0.811765,0.560784,"Frequent"
"97",1227,1665,318774,13140,39,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,-9999,857,467,46,-9999,54,"V-A",237,161,102,0.929412,0.631373,0.4,"Rare"
"98",1229,1667,2848,13850,39,"13850_31_39_40_42","Western Great Plains Wooded Draw and Ravine","Shrubland",91,65,230,32,36,50,14,"I-C",168,168,0,0.658824,0.658824,0,"Intermediate"
"99",1230,1668,164070,13940,39,"13940_39_40_41","North-Central Interior Oak Savanna","Hardwood",550,165,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,"Frequent"
"100",1231,1669,1965130,14120,39,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,"Frequent"
"101",1232,1670,34665998,14200,39,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,-9999,-9999,6,100,-9999,-9999,"II-B",184,132,29,0.721569,0.517647,0.113725,"Frequent"
